# Consolidated Fable.exe symbol database (Steam TLC, base 0x400000)
# Sources: FableMenu source (func addresses+names), RTTI dump (vtables), curated statics.
# 2350 symbols: 251 func, 2090 vtable, 9 data. Columns below.
addr	name	kind	conv	source
00692620	CThing::GetActionID	func	thiscall	FableMenu
00692EC0	CThing::HasPrecedingAction	func	thiscall	FableMenu
0069CE20	CTCVillageMember::IsAttachedToVillage	func	thiscall	FableMenu
006A10A0	CTCCarrying::IsCarryingThing	func	thiscall	FableMenu
006A1120	CTCCarrying::GetCarriedThing	func	thiscall	FableMenu
006A11F0	CTCCarrying::GetThingInCarrySlot	func	thiscall	FableMenu
006A1230	CTCCarrying::IsCarrySlotFree	func	thiscall	FableMenu
006A1440	CTCCarrying::GetThingInPrimarySlot	func	thiscall	FableMenu
006A1540	CTCCarrying::IsCarryingWeapon	func	fastcall	FableMenu
006A16A0	CTCCarrying::RemoveThingInCarrySlot	func	thiscall	FableMenu
006A1F80	CTCCarrying::AddThingInCarrySlot	func	thiscall	FableMenu
006AC430	CThing::LearnExpression	func	thiscall	FableMenu
006AC690	CThing::LearnAbility	func	thiscall	FableMenu
006AEBA0	CTCRegionFollower::RemoveFollower	func	thiscall	FableMenu
006AED80	CTCRegionFollower::Alloc	func	thiscall	FableMenu
006AEDC0	CTCRegionFollower::AddFollower	func	thiscall	FableMenu
006BFB10	CTCBuyableHouse::isBuildingBeingUsed	func	thiscall	FableMenu
006C04D0	CTCBuyableHouse::CountMoneyBags	func	thiscall	FableMenu
006C0FD0	CTCBuyableHouse::Evict	func	thiscall	FableMenu
006C17B0	CTCBuyableHouse::SetOwnedByPlayer	func	thiscall	FableMenu
006CA400	CTCHero::SetTitle	func	thiscall	FableMenu
006CEC80	CTCWife::IsMarriedToThePlayer	func	thiscall	FableMenu
006CF920	CTCWife::HaveSex	func	thiscall	FableMenu
006D0180	CTCWife::Divorce	func	thiscall	FableMenu
006D18A0	CTCWife::Marry	func	thiscall	FableMenu
006D4FD0	CTCFollowed::AddEmoteIcon	func	thiscall	FableMenu
006D5050	CTCFollowed::RemoveEmoteIcon	func	thiscall	FableMenu
006D50C0	CTCFollowed::AddFollower	func	thiscall	FableMenu
006D5180	CTCFollowed::RemoveFollower	func	thiscall	FableMenu
006DFF30	CTCDParticleEmitter	func	thiscall	FableMenu
006E0500	CTCDParticleEmitter::SetParticlePosition	func	thiscall	FableMenu
006E0590	CTCDParticleEmitter::SetAlwaysUpdate	func	thiscall	FableMenu
006E0880	CTCDParticleEmitter::Create	func	fastcall	FableMenu
006E0AF0	CTCDParticleEmitter::ClearAttachments	func	thiscall	FableMenu
006E0BE0	CTCDParticleEmitter::AttachToThing	func	thiscall	FableMenu
006E0DB0	CTCDParticleEmitter::AttachToCamera	func	thiscall	FableMenu
006E7300	CGameScriptInterface::IsCameraPosOnScreen	func	thiscall	FableMenu
006E7690	CGameScriptInterface::DeregisterTimer	func	thiscall	FableMenu
006E76E0	CGameScriptInterface::SetTimer	func	thiscall	FableMenu
006E7710	CGameScriptInterface::GetTimer	func	thiscall	FableMenu
006E79E0	CGameScriptInterface::RegisterTimer	func	thiscall	FableMenu
006E7D30	CGameScriptInterface::SetCreatureCreationDelayFrames	func	thiscall	FableMenu
006E7D40	CGameScriptInterface::ResetCreatureCreationDelayFrames	func	thiscall	FableMenu
007021F0	CTCQuestCard::GetTeleporterRegionName	func	thiscall	FableMenu
00702280	CTCQuestCard::IsCore	func	thiscall	FableMenu
007022A0	CTCQuestCard::IsExclusive	func	thiscall	FableMenu
007022C0	CTCQuestCard::IsOptional	func	thiscall	FableMenu
007022E0	CTCQuestCard::IsVignette	func	thiscall	FableMenu
007022F0	CTCQuestCard::IsRouteToAppearOnMinimap	func	thiscall	FableMenu
00702310	CTCQuestCard::GetQuestName	func	thiscall	FableMenu
00702810	CTCQuestCard::IsActivable	func	thiscall	FableMenu
00703210	CreateThing	func	fastcall	FableMenu
00705CC0	CTCCarrying::GetCarrySlotActive	func	thiscall	FableMenu
00713630	CTCScriptedControl::ClearAllActions	func	thiscall	FableMenu
007136B0	CActionBase::SetThingToNotAvoid	func	thiscall	FableMenu
007137D0	CTCScriptedControl::AddAction	func	thiscall	FableMenu
0071B1B0	CTCThingOwner::RemoveOwnedObject	func	thiscall	FableMenu
0071BE00	CTCHeroMorph::HasAnyTatoos	func	thiscall	FableMenu
0071CE30	CTCHeroMorph::RemoveAllTatoos	func	thiscall	FableMenu
0071DA70	CTCHeroMorph::AddTatoo	func	thiscall	FableMenu
007235E0	CTCPhysicsStandard::EnableGravity	func	thiscall	FableMenu
00723630	CTCPhysicsStandard::EnablePhysics	func	thiscall	FableMenu
00724BD0	CTCPhysicsStandard::GetRHSet	func	thiscall	FableMenu
00726750	CTCPhysicsStandard::SetPosition	func	thiscall	FableMenu
00730C00	CTCDoor::Open	func	thiscall	FableMenu
007355F0	CTCCombat::SetCombatType	func	thiscall	FableMenu
0073A6E0	CTCCreatureModeManager::GetCurrentCreatureMode	func	thiscall	FableMenu
0073A8A0	CTCCreatureModeManager::IsModeActive	func	thiscall	FableMenu
0073ABA0	CTCCreatureModeManager::RemoveMode	func	thiscall	FableMenu
0073AE10	CTCCreatureModeManager::AddMode	func	thiscall	FableMenu
0073AF60	CTCCreatureModeManager::SetupDefaultMode	func	thiscall	FableMenu
00750540	CTCChest::Open	func	thiscall	FableMenu
007506C0	CTCChest::Close	func	thiscall	FableMenu
00751B30	CTCLook::GetHeadLocation	func	thiscall	FableMenu
00765D50	CTCObjectAugmentations::GetFreeSlot	func	thiscall	FableMenu
00765D80	CTCObjectAugmentations::GetNumberOfSlots	func	thiscall	FableMenu
00765DA0	CTCObjectAugmentations::HasAugmentationInSlot	func	thiscall	FableMenu
00765E70	CTCObjectAugmentations::GetAugmentationNameInSlot	func	thiscall	FableMenu
00766140	CTCObjectAugmentations::GetDamageMultiplier	func	thiscall	FableMenu
00766260	CTCObjectAugmentations::GetHealthToAddThisFrame	func	thiscall	FableMenu
00766330	CTCObjectAugmentations::GetStaminaToAddThisFrame	func	thiscall	FableMenu
00766400	CTCObjectAugmentations::GetExperienceMultiplier	func	thiscall	FableMenu
00766920	CTCObjectAugmentations::GetAugmentations	func	thiscall	FableMenu
00766D70	CTCObjectAugmentations::AddNewSlot	func	thiscall	FableMenu
00768120	CTCObjectAugmentations::AttachAugmentationToSlot	func	thiscall	FableMenu
007681D0	CTCObjectAugmentations::RemoveAugmentationFromSlot	func	thiscall	FableMenu
0076C810	CTCEnemy::SetFaction	func	thiscall	FableMenu
0076CC00	CTCEnemy::RemoveEnemyThing	func	thiscall	FableMenu
0076CCE0	CTCEnemy::IsEnemyOf	func	thiscall	FableMenu
0076D270	CTCEnemy::AddAlly	func	thiscall	FableMenu
0079BD80	CGameDefinitionManager::GetOpinionPersonalitDef	func	thiscall	FableMenu
007CA670	CTCHeroReceiveItems::PrepareToShowItems	func	thiscall	FableMenu
007E8590	CTCOwnedEntity::SetPOwner	func	thiscall	FableMenu
007EB2D0	CCreatureAction_AddRealObjectToInventory	func	thiscall	FableMenu
007ECFD0	CCreatureAction_DropWeapon	func	thiscall	FableMenu
007EE540	CTCVillageMember::GetPVillage	func	thiscall	FableMenu
007FFFB0	CTCHaste::GetActionSpeedMultiplier	func	thiscall	FableMenu
0082DB00	CThing::LockAllDoors	func	thiscall	FableMenu
00833010	CThing::SetNewBrain	func	thiscall	FableMenu
